IvsII	IIvsIII	IvsIII	stage8	stage18	stage21	stage25	stage27	stage35	ave	stageSpecific
ENSMUSG00000026890	0	1	1	0	1	0	0	0	0	1	0
ENSMUSG00000103693	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112057	0	1	0	0	0	0	0	0	1	1	0
ENSMUSG00000020840	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108678	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040701	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097160	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059518	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081887	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074178	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100706	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032508	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114456	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084941	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045328	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091050	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116220	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030979	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103543	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030590	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044155	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029646	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039137	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115837	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039680	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098183	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100594	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084007	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006356	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021057	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000097493	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024423	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024556	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019761	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074282	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084113	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086427	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064158	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116597	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037752	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027474	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090191	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026640	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049411	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000115662	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018209	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095362	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033688	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029859	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056820	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024091	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030124	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000019848	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046721	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025980	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026278	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000024683	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004364	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092260	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019837	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064247	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060098	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054792	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036599	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105773	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026141	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112891	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090387	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111496	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034300	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086013	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071724	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021549	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026200	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055069	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027715	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037336	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000043889	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000000171	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085784	0	0	1	0	1	0	0	0	0	1	0
ENSMUSG00000021965	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044566	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109857	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054594	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000065047	0	1	0	0	0	0	0	0	1	1	0
ENSMUSG00000026858	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003423	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030525	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028920	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046637	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035172	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081648	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025266	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098332	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084381	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084323	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054161	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020916	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027215	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000053615	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079065	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024593	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000043051	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026870	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102319	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020212	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020672	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035960	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000031578	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036452	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020534	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097048	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034066	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040097	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000020009	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000063273	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045098	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032394	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000075463	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039798	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114016	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108350	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074652	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117896	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108621	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027196	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101798	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023911	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101451	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102252	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031785	0	1	1	0	0	0	0	0	0	1	0
ENSMUSG00000050332	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000084790	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027291	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023015	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036097	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057738	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039824	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000010529	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028907	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028864	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063129	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113106	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107596	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036854	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018143	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026915	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033318	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020457	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043929	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084131	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035439	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037363	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099094	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082399	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087683	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000091549	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084968	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046613	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114279	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083199	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000003865	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102620	0	1	0	0	1	0	0	0	0	1	0
ENSMUSG00000105565	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000011267	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041782	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025010	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027805	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043822	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041638	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109555	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056234	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078184	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070291	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049551	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026767	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102157	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060176	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073274	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000053091	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039735	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106864	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042506	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079364	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090500	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116562	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024875	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058669	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115483	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041939	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020532	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096086	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057836	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024137	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019891	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000032458	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009216	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069301	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030087	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069806	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024151	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023912	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053769	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058655	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103924	0	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000039865	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097386	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044807	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039990	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100228	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000033166	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021807	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090955	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020846	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087598	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103563	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000020776	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000081677	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015289	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115009	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049488	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097491	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086638	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086331	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063919	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037705	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112825	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085274	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082315	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006241	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037225	0	1	1	0	1	0	0	1	0	1	0
ENSMUSG00000020799	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073797	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042675	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000020520	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026986	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031028	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024181	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020037	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000097364	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031536	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116234	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044629	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000022176	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026142	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074909	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000026788	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041684	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109564	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026484	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038022	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020088	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058715	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044768	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105509	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050621	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029449	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020167	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105519	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068798	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020576	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029250	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000062461	0	0	0	0	1	0	0	0	1	0	1
ENSMUSG00000104443	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002326	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000031284	0	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000034993	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000111389	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002524	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063684	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004837	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018167	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075486	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029304	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097904	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082596	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071855	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058248	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000041144	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063652	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026344	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016206	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051373	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020847	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058603	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032939	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015478	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039163	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104720	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028621	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104136	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070939	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000017478	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113036	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027173	0	1	0	0	0	0	0	0	1	1	0
ENSMUSG00000024248	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039577	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099377	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087479	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000040254	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102927	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039263	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034522	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063412	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060862	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034192	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035285	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021944	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032959	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092499	0	0	1	0	1	0	0	0	0	1	0
ENSMUSG00000038402	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002477	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014603	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002771	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114310	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035576	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031715	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117515	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019818	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027122	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025484	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024256	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000069520	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019873	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030600	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040554	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093577	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110125	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021932	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040680	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000025873	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028890	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000038286	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039753	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040648	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078192	0	0	0	0	1	0	0	0	1	0	1
ENSMUSG00000027933	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032584	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110840	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102918	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000105779	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000010651	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097151	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027465	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056895	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059923	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113313	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089177	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002885	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025468	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022043	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101841	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102764	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031410	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031734	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038891	0	1	0	0	1	0	0	0	0	1	0
ENSMUSG00000022623	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000084013	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058600	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020280	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000006931	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026848	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050447	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019920	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029763	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085058	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022438	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000006435	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020978	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037204	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018012	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041346	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094189	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043807	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025512	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037762	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085012	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028441	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029134	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100980	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114433	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110635	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055900	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035078	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021375	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029405	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057113	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043953	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025500	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103657	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000063060	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000105082	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023048	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113880	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067847	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031618	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000020193	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000050520	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075284	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058587	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040389	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022521	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027984	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103467	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045962	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030846	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066232	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021737	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030470	0	0	0	0	0	0	0	0	0	0	0
