IvsII	IIvsIII	IvsIII	stage8	stage18	stage21	stage25	stage27	stage35	ave	stageSpecific
ENSMUSG00000030102	0	0	1	0	1	0	1	1	1	1	0
ENSMUSG00000046743	1	0	1	1	0	1	0	0	0	1	0
ENSMUSG00000021591	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000033769	0	0	1	0	1	1	1	0	0	1	0
ENSMUSG00000024713	1	0	1	1	1	0	1	0	1	1	0
ENSMUSG00000059991	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000051817	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000020695	0	0	0	0	0	1	1	0	1	0	1
ENSMUSG00000010911	0	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000037031	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000111577	1	0	1	0	1	1	0	0	1	1	0
ENSMUSG00000068735	1	0	1	1	0	1	0	0	1	1	0
ENSMUSG00000042961	1	0	1	0	0	1	1	0	1	1	0
ENSMUSG00000029563	1	0	1	1	0	1	0	0	1	1	0
ENSMUSG00000029552	0	0	0	1	0	0	0	0	1	0	1
ENSMUSG00000053963	1	1	1	1	0	1	0	0	1	1	0
ENSMUSG00000032383	0	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000050732	0	0	1	0	1	1	0	0	1	1	0
ENSMUSG00000032766	1	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000069763	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000051379	0	0	0	1	1	0	0	0	0	0	1
ENSMUSG00000032452	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000022231	0	0	0	0	0	1	0	1	0	0	1
ENSMUSG00000021286	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000567	1	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000038175	0	0	1	0	0	1	1	0	0	1	0
ENSMUSG00000061132	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000039481	1	0	1	0	1	0	1	0	1	1	0
ENSMUSG00000053475	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000024654	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021136	1	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000026418	0	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000021215	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000027669	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000008398	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029050	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064325	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000022978	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026185	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000022025	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000113772	1	1	1	1	1	1	1	0	0	1	0
ENSMUSG00000024044	0	1	1	1	1	1	1	1	1	1	0
ENSMUSG00000032000	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000029844	0	0	1	0	0	1	1	1	1	1	0
ENSMUSG00000050071	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000753	0	0	1	0	0	1	1	0	0	1	0
ENSMUSG00000029128	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034486	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000045095	0	0	0	0	1	0	0	0	1	0	1
ENSMUSG00000034266	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000020432	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000078794	1	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000038214	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032035	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031891	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000051910	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000033767	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024065	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000051391	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034463	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000085696	0	0	0	1	0	0	0	0	1	0	1
ENSMUSG00000010476	1	0	1	0	1	0	0	1	1	1	0
ENSMUSG00000064373	1	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000020053	1	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000027188	1	1	0	1	0	0	0	1	0	1	0
ENSMUSG00000033237	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040249	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000071042	1	0	1	0	1	1	1	0	0	1	0
ENSMUSG00000032667	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000037211	1	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000015189	0	0	0	0	0	1	1	0	0	0	1
ENSMUSG00000013089	1	0	1	0	0	1	1	0	1	1	0
ENSMUSG00000057465	1	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000058056	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000000305	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000041559	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000028937	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000020644	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000037034	1	0	1	1	1	1	1	0	0	1	0
ENSMUSG00000032289	1	0	1	1	1	1	0	0	0	1	0
ENSMUSG00000026209	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040121	1	0	1	1	1	0	0	0	1	1	0
ENSMUSG00000051065	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000031012	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000028278	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000059182	0	0	0	0	0	1	0	1	1	0	1
ENSMUSG00000001435	0	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000030352	0	0	0	1	0	1	0	0	1	0	1
ENSMUSG00000007041	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027378	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000003992	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000029718	1	0	1	1	0	1	0	0	1	1	0
ENSMUSG00000061186	1	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000059325	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000050379	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032121	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016087	0	0	0	0	1	0	0	0	1	0	1
ENSMUSG00000022197	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000030351	1	0	1	1	0	0	1	0	1	1	0
ENSMUSG00000047414	1	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000028988	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031925	0	0	1	0	1	1	0	0	0	1	0
ENSMUSG00000020205	0	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000044447	0	0	0	0	1	1	0	1	0	0	1
ENSMUSG00000040010	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027400	1	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000028603	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026558	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024381	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046314	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000031520	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025511	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000027276	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000038775	0	0	0	0	0	0	0	0	0	0	0
